tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780397386.1135035,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.1507447,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.1947305,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.229713,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.2715714,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.3217218,EP2,125.0,426.0,84.2,349.0,85.0,0.0,ESP32
1780397386.3532462,EP2,126.0,426.0,84.1,349.0,85.0,0.0,ESP32
1780397386.3990672,EP2,126.0,424.0,81.7,349.0,85.0,0.0,ESP32
1780397386.4443326,EP2,126.0,424.0,81.7,349.0,85.0,0.0,ESP32
1780397386.4891505,EP2,127.0,421.0,81.7,349.0,85.0,0.0,ESP32
1780397386.517217,EP2,127.0,416.0,80.3,349.0,85.0,0.0,ESP32
1780397386.5647125,EP2,128.0,412.0,80.3,349.0,85.0,0.0,ESP32
1780397386.597273,EP2,128.0,412.0,80.3,349.0,85.0,0.0,ESP32
1780397386.6411006,EP2,128.0,409.0,79.2,349.0,85.0,0.0,ESP32
1780397386.68969,EP2,129.0,402.0,78.9,349.0,85.0,0.0,ESP32
1780397386.7332573,EP2,130.0,399.0,79.2,349.0,85.0,0.0,ESP32
1780397386.7655756,EP2,130.0,399.0,79.2,349.0,85.0,0.0,ESP32
1780397386.8129768,EP2,131.0,396.0,80.3,349.0,85.0,0.0,ESP32
1780397386.858294,EP2,131.0,392.0,78.9,349.0,85.0,0.0,ESP32
1780397386.8905408,EP2,132.0,390.0,80.1,349.0,85.0,0.0,ESP32
1780397386.9311504,EP2,132.0,386.0,78.9,349.0,85.0,0.0,ESP32
1780397386.9781637,EP2,133.0,380.0,77.7,349.0,85.0,0.0,ESP32
1780397387.026663,EP2,134.0,377.0,79.2,349.0,85.0,0.0,ESP32
1780397387.057666,EP2,134.0,377.0,79.2,349.0,85.0,0.0,ESP32
1780397387.101325,EP2,135.0,371.0,78.9,349.0,85.0,0.0,ESP32
1780397387.1501663,EP2,135.0,368.0,76.6,349.0,85.0,0.0,ESP32
1780397387.1780906,EP2,135.0,365.0,76.6,349.0,85.0,0.0,ESP32
1780397387.2258372,EP2,136.0,361.0,76.3,349.0,85.0,0.0,ESP32
1780397387.272215,EP2,136.0,361.0,76.3,349.0,85.0,0.0,ESP32
1780397387.3176243,EP2,137.0,359.0,76.6,349.0,85.0,0.0,ESP32
1780397387.3484545,EP2,138.0,352.0,75.4,349.0,85.0,0.0,ESP32
1780397387.3978179,EP2,139.0,349.0,75.4,349.0,85.0,0.0,ESP32
1780397387.4401624,EP2,140.0,346.0,75.4,349.0,85.0,0.0,ESP32
1780397387.4712126,EP2,141.0,343.0,75.1,349.0,85.0,0.0,ESP32
1780397387.516415,EP2,141.0,340.0,73.9,349.0,85.0,0.0,ESP32
1780397387.566367,EP2,142.0,337.0,75.1,349.0,85.0,0.0,ESP32
1780397387.5988984,EP2,142.0,337.0,75.1,349.0,85.0,0.0,ESP32
1780397387.6467683,EP2,144.0,331.0,75.1,349.0,85.0,0.0,ESP32
1780397387.6916978,EP2,145.0,328.0,75.4,349.0,85.0,0.0,ESP32
1780397387.7229369,EP2,145.0,328.0,75.4,349.0,85.0,0.0,ESP32
1780397387.7703853,EP2,146.0,322.0,73.5,349.0,85.0,0.0,ESP32
1780397387.8150647,EP2,146.0,322.0,73.5,349.0,85.0,0.0,ESP32
1780397387.861668,EP2,147.0,319.0,74.7,349.0,85.0,0.0,ESP32
1780397387.8904989,EP2,148.0,316.0,73.5,349.0,85.0,0.0,ESP32
1780397387.9415781,EP2,148.0,313.0,73.5,349.0,85.0,0.0,ESP32
1780397387.9874341,EP2,149.0,310.0,73.2,349.0,85.0,0.0,ESP32
1780397388.0166008,EP2,150.0,308.0,73.9,349.0,85.0,0.0,ESP32
1780397388.064111,EP2,151.0,302.0,71.6,349.0,85.0,0.0,ESP32
1780397388.1145146,EP2,152.0,299.0,71.2,349.0,85.0,0.0,ESP32
1780397388.14181,EP2,152.0,299.0,71.2,349.0,85.0,0.0,ESP32
1780397388.1888635,EP2,154.0,293.0,71.2,349.0,85.0,0.0,ESP32
1780397388.2318423,EP2,154.0,293.0,71.2,349.0,85.0,0.0,ESP32
1780397388.263433,EP2,156.0,288.0,71.2,349.0,85.0,0.0,ESP32
1780397388.3114169,EP2,156.0,288.0,71.2,349.0,85.0,0.0,ESP32
1780397388.361124,EP2,158.0,281.0,69.1,349.0,85.0,0.0,ESP32
1780397388.389583,EP2,159.0,278.0,69.1,349.0,85.0,0.0,ESP32
1780397388.4347506,EP2,160.0,276.0,69.6,349.0,85.0,0.0,ESP32
1780397388.4834769,EP2,160.0,276.0,69.6,349.0,85.0,0.0,ESP32
1780397388.5162315,EP2,161.0,273.0,69.1,349.0,85.0,0.0,ESP32
1780397388.5601618,EP2,162.0,271.0,69.6,349.0,85.0,0.0,ESP32
1780397388.6070192,EP2,164.0,265.0,66.8,349.0,85.0,0.0,ESP32
1780397388.6527238,EP2,165.0,263.0,67.3,349.0,85.0,0.0,ESP32
1780397388.6835492,EP2,166.0,260.0,66.8,349.0,85.0,0.0,ESP32
1780397388.728664,EP2,166.0,260.0,66.8,349.0,85.0,0.0,ESP32
1780397388.7743015,EP2,168.0,254.0,65.1,349.0,85.0,0.0,ESP32
1780397388.8063006,EP2,168.0,254.0,65.1,349.0,85.0,0.0,ESP32
1780397388.851617,EP2,169.0,252.0,65.1,349.0,85.0,0.0,ESP32
1780397388.8974388,EP2,170.0,249.0,65.1,349.0,85.0,0.0,ESP32
1780397388.94076,EP2,173.0,244.0,64.6,349.0,85.0,0.0,ESP32
1780397388.972792,EP2,174.0,241.0,64.6,349.0,85.0,0.0,ESP32
1780397389.0199735,EP2,175.0,239.0,64.5,349.0,85.0,0.0,ESP32
1780397389.0657182,EP2,175.0,239.0,64.5,349.0,85.0,0.0,ESP32
1780397389.0970004,EP2,176.0,236.0,62.3,349.0,85.0,0.0,ESP32
1780397389.1431816,EP2,179.0,231.0,63.4,349.0,85.0,0.0,ESP32
1780397389.1879177,EP2,180.0,229.0,62.9,349.0,85.0,0.0,ESP32
1780397389.2363608,EP2,181.0,226.0,61.2,349.0,85.0,0.0,ESP32
1780397389.2675822,EP2,183.0,224.0,62.9,349.0,85.0,0.0,ESP32
1780397389.3136702,EP2,183.0,224.0,62.9,349.0,85.0,0.0,ESP32
1780397389.357668,EP2,185.0,219.0,61.2,349.0,85.0,0.0,ESP32
1780397389.3905587,EP2,187.0,216.0,60.6,349.0,85.0,0.0,ESP32
1780397389.4379623,EP2,188.0,214.0,60.6,349.0,85.0,0.0,ESP32
1780397389.4832249,EP2,189.0,211.0,59.5,349.0,85.0,0.0,ESP32
1780397389.5161538,EP2,190.0,208.0,58.8,349.0,85.0,0.0,ESP32
1780397389.5607035,EP2,192.0,206.0,60.6,349.0,85.0,0.0,ESP32
1780397389.6050863,EP2,193.0,204.0,59.5,349.0,85.0,0.0,ESP32
1780397389.639546,EP2,193.0,204.0,59.5,349.0,85.0,0.0,ESP32
1780397389.6845064,EP2,195.0,199.0,58.4,349.0,85.0,0.0,ESP32
1780397389.732754,EP2,195.0,199.0,58.4,349.0,85.0,0.0,ESP32
1780397389.7756648,EP2,198.0,194.0,59.5,349.0,85.0,0.0,ESP32
1780397389.8096526,EP2,198.0,194.0,59.5,349.0,85.0,0.0,ESP32
1780397389.8522084,EP2,200.0,192.0,60.1,349.0,85.0,0.0,ESP32
1780397389.8986404,EP2,201.0,189.0,57.7,349.0,85.0,0.0,ESP32
1780397389.933462,EP2,203.0,187.0,58.8,349.0,85.0,0.0,ESP32
1780397389.974542,EP2,204.0,185.0,58.4,349.0,85.0,0.0,ESP32
1780397390.0239627,EP2,207.0,180.0,56.0,349.0,85.0,0.0,ESP32
1780397390.0689938,EP2,208.0,178.0,54.9,349.0,85.0,0.0,ESP32
1780397390.1012993,EP2,210.0,176.0,55.6,349.0,85.0,0.0,ESP32
1780397390.1464791,EP2,211.0,173.0,53.1,349.0,85.0,0.0,ESP32
1780397390.193303,EP2,213.0,172.0,53.9,349.0,85.0,0.0,ESP32
1780397390.225955,EP2,214.0,170.0,52.9,349.0,85.0,0.0,ESP32
1780397390.2721126,EP2,216.0,168.0,52.1,349.0,85.0,0.0,ESP32
1780397390.3179922,EP2,218.0,166.0,50.4,349.0,85.0,0.0,ESP32
1780397390.3497975,EP2,219.0,166.0,46.8,349.0,85.0,0.0,ESP32
1780397390.3962958,EP2,220.0,166.0,38.9,349.0,85.0,0.0,ESP32
1780397390.4428756,EP2,222.0,166.0,37.1,349.0,85.0,0.0,ESP32
1780397390.4706922,EP2,224.0,165.0,34.4,349.0,85.0,0.0,ESP32
1780397390.519616,EP2,225.0,164.0,29.9,349.0,85.0,0.0,ESP32
1780397390.5643544,EP2,227.0,163.0,31.0,349.0,85.0,0.0,ESP32
1780397390.6140673,EP2,229.0,162.0,31.0,349.0,85.0,0.0,ESP32
1780397390.6416028,EP2,232.0,160.0,32.3,349.0,85.0,0.0,ESP32
1780397390.6880617,EP2,234.0,159.0,32.3,349.0,85.0,0.0,ESP32
1780397390.733036,EP2,236.0,158.0,32.3,349.0,85.0,0.0,ESP32
1780397390.763838,EP2,238.0,156.0,32.3,349.0,85.0,0.0,ESP32
1780397390.8082092,EP2,238.0,156.0,32.3,349.0,85.0,0.0,ESP32
1780397390.8561256,EP2,240.0,155.0,32.3,349.0,85.0,0.0,ESP32
1780397390.9000356,EP2,242.0,154.0,32.3,349.0,85.0,0.0,ESP32
1780397390.933852,EP2,245.0,151.0,31.0,349.0,85.0,0.0,ESP32
1780397390.9768598,EP2,247.0,149.0,29.9,349.0,85.0,0.0,ESP32
1780397391.0234718,EP2,250.0,148.0,32.3,349.0,85.0,0.0,ESP32
1780397391.0577846,EP2,250.0,148.0,32.3,349.0,85.0,0.0,ESP32
1780397391.102776,EP2,254.0,145.0,32.7,349.0,85.0,0.0,ESP32
1780397391.1498945,EP2,255.0,143.0,31.6,349.0,85.0,0.0,ESP32
1780397391.1816738,EP2,255.0,143.0,31.6,349.0,85.0,0.0,ESP32
1780397391.2257903,EP2,259.0,141.0,32.7,349.0,85.0,0.0,ESP32
1780397391.2728133,EP2,261.0,139.0,34.4,349.0,85.0,0.0,ESP32
1780397391.315065,EP2,263.0,137.0,34.4,349.0,85.0,0.0,ESP32
1780397391.3477726,EP2,265.0,136.0,35.1,349.0,85.0,0.0,ESP32
1780397391.3928156,EP2,267.0,134.0,35.1,349.0,85.0,0.0,ESP32
1780397391.4405656,EP2,269.0,133.0,36.1,349.0,85.0,0.0,ESP32
1780397391.473984,EP2,269.0,133.0,36.1,349.0,85.0,0.0,ESP32
1780397391.5186658,EP2,272.0,130.0,35.1,349.0,85.0,0.0,ESP32
1780397391.5636065,EP2,274.0,129.0,36.1,349.0,85.0,0.0,ESP32
1780397391.598964,EP2,275.0,128.0,35.4,349.0,85.0,0.0,ESP32
1780397391.643374,EP2,277.0,127.0,36.1,349.0,85.0,0.0,ESP32
1780397391.6905231,EP2,278.0,126.0,36.4,349.0,85.0,0.0,ESP32
1780397391.7379186,EP2,279.0,124.0,32.7,349.0,85.0,0.0,ESP32
1780397391.7676625,EP2,281.0,123.0,33.3,349.0,85.0,0.0,ESP32
1780397391.8138754,EP2,282.0,122.0,32.7,349.0,85.0,0.0,ESP32
1780397391.8606017,EP2,284.0,121.0,33.3,349.0,85.0,0.0,ESP32
1780397391.8921661,EP2,284.0,121.0,33.3,349.0,85.0,0.0,ESP32
1780397391.936862,EP2,284.0,119.0,39.6,349.0,85.0,0.0,ESP32
1780397391.9817672,EP2,284.0,119.0,39.8,349.0,85.0,0.0,ESP32
1780397392.0270276,EP2,284.0,119.0,39.8,349.0,85.0,0.0,ESP32
1780397392.0590255,EP2,285.0,120.0,36.4,349.0,85.0,0.0,ESP32
