tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1781019835.82677,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019835.8643186,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019835.911299,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019835.9416995,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019835.9888086,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019836.0345142,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019836.0646687,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019836.1116848,EP2,133.0,415.0,82.5,359.0,67.0,-87.0,ESP32
1781019836.1605814,EP2,134.0,414.0,83.4,359.0,67.0,-87.0,ESP32
1781019836.1924891,EP2,134.0,414.0,83.4,359.0,67.0,-87.0,ESP32
1781019836.2385054,EP2,135.0,408.0,80.9,359.0,67.0,-87.0,ESP32
1781019836.2867439,EP2,135.0,408.0,80.9,359.0,67.0,-87.0,ESP32
1781019836.3183594,EP2,136.0,404.0,82.0,359.0,67.0,-87.0,ESP32
1781019836.3604698,EP2,137.0,398.0,80.0,359.0,67.0,-87.0,ESP32
1781019836.4135394,EP2,137.0,398.0,80.0,359.0,67.0,-87.0,ESP32
1781019836.4412215,EP2,138.0,394.0,79.8,359.0,67.0,-87.0,ESP32
1781019836.4874384,EP2,139.0,387.0,79.4,359.0,67.0,-87.0,ESP32
1781019836.5331013,EP2,139.0,384.0,79.8,359.0,67.0,-87.0,ESP32
1781019836.564933,EP2,139.0,384.0,79.8,359.0,67.0,-87.0,ESP32
1781019836.6120389,EP2,140.0,380.0,79.6,359.0,67.0,-87.0,ESP32
1781019836.6577232,EP2,141.0,373.0,77.1,359.0,67.0,-87.0,ESP32
1781019836.690418,EP2,141.0,373.0,77.1,359.0,67.0,-87.0,ESP32
1781019836.7347279,EP2,142.0,370.0,79.4,359.0,67.0,-87.0,ESP32
1781019836.7818782,EP2,143.0,363.0,77.1,359.0,67.0,-87.0,ESP32
1781019836.8308556,EP2,144.0,360.0,77.3,359.0,67.0,-87.0,ESP32
1781019836.858561,EP2,144.0,360.0,77.3,359.0,67.0,-87.0,ESP32
1781019836.9053974,EP2,146.0,353.0,76.8,359.0,67.0,-87.0,ESP32
1781019836.9501755,EP2,147.0,350.0,77.1,359.0,67.0,-87.0,ESP32
1781019836.9806182,EP2,147.0,350.0,77.1,359.0,67.0,-87.0,ESP32
1781019837.0273354,EP2,148.0,346.0,76.8,359.0,67.0,-87.0,ESP32
1781019837.0762064,EP2,149.0,340.0,75.4,359.0,67.0,-87.0,ESP32
1781019837.1107352,EP2,149.0,340.0,75.4,359.0,67.0,-87.0,ESP32
1781019837.153481,EP2,151.0,333.0,75.7,359.0,67.0,-87.0,ESP32
1781019837.1993692,EP2,152.0,330.0,76.0,359.0,67.0,-87.0,ESP32
1781019837.2311437,EP2,152.0,330.0,76.0,359.0,67.0,-87.0,ESP32
1781019837.2809603,EP2,153.0,327.0,76.2,359.0,67.0,-87.0,ESP32
1781019837.3243988,EP2,154.0,320.0,73.4,359.0,67.0,-87.0,ESP32
1781019837.3591871,EP2,154.0,320.0,73.4,359.0,67.0,-87.0,ESP32
1781019837.401894,EP2,156.0,314.0,74.1,359.0,67.0,-87.0,ESP32
1781019837.4486876,EP2,157.0,311.0,72.3,359.0,67.0,-87.0,ESP32
1781019837.478415,EP2,157.0,311.0,72.3,359.0,67.0,-87.0,ESP32
1781019837.5274193,EP2,158.0,308.0,73.4,359.0,67.0,-87.0,ESP32
1781019837.572547,EP2,160.0,301.0,74.5,359.0,67.0,-87.0,ESP32
1781019837.6200006,EP2,161.0,298.0,73.1,359.0,67.0,-87.0,ESP32
1781019837.6494172,EP2,161.0,298.0,73.1,359.0,67.0,-87.0,ESP32
1781019837.6959808,EP2,163.0,291.0,71.9,359.0,67.0,-87.0,ESP32
