tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780400447.7097511,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.7473311,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.791574,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.8236752,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.8715963,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.9164174,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.948388,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400447.9887044,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400448.0372994,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400448.0830474,EP2,170.0,103.0,-177.3,380.0,434.0,-2.0,ESP32
1780400448.1126237,EP2,170.0,105.0,-171.9,380.0,434.0,-2.0,ESP32
1780400448.1595712,EP2,170.0,106.0,-163.7,380.0,434.0,-2.0,ESP32
1780400448.205605,EP2,170.0,106.0,-163.7,380.0,434.0,-2.0,ESP32
1780400448.236089,EP2,170.0,110.0,-144.5,380.0,434.0,-2.0,ESP32
1780400448.2846699,EP2,170.0,110.0,-144.5,380.0,434.0,-2.0,ESP32
1780400448.3258286,EP2,171.0,112.0,-134.1,380.0,434.0,-2.0,ESP32
1780400448.3749125,EP2,174.0,116.0,-113.6,380.0,434.0,-2.0,ESP32
1780400448.405287,EP2,174.0,116.0,-113.6,380.0,434.0,-2.0,ESP32
1780400448.450074,EP2,176.0,117.0,-104.7,380.0,434.0,-2.0,ESP32
1780400448.4939911,EP2,180.0,118.0,-83.4,380.0,434.0,-2.0,ESP32
1780400448.544675,EP2,180.0,118.0,-83.4,380.0,434.0,-2.0,ESP32
1780400448.5719976,EP2,184.0,117.0,-66.3,380.0,434.0,-2.0,ESP32
1780400448.6194894,EP2,186.0,117.0,-55.2,380.0,434.0,-2.0,ESP32
1780400448.6665428,EP2,186.0,117.0,-55.2,380.0,434.0,-2.0,ESP32
1780400448.6949975,EP2,189.0,114.0,-35.8,380.0,434.0,-2.0,ESP32
1780400448.7427936,EP2,191.0,114.0,-31.6,380.0,434.0,-2.0,ESP32
1780400448.788652,EP2,194.0,115.0,-31.2,380.0,434.0,-2.0,ESP32
1780400448.819722,EP2,196.0,117.0,-30.1,380.0,434.0,-2.0,ESP32
1780400448.8687305,EP2,197.0,118.0,-32.7,380.0,434.0,-2.0,ESP32
1780400448.9120255,EP2,198.0,120.0,-35.8,380.0,434.0,-2.0,ESP32
1780400448.9457626,EP2,200.0,121.0,-39.6,380.0,434.0,-2.0,ESP32
1780400448.990402,EP2,202.0,123.0,-40.5,380.0,434.0,-2.0,ESP32
1780400449.038453,EP2,202.0,123.0,-40.5,380.0,434.0,-2.0,ESP32
1780400449.0839036,EP2,204.0,125.0,-41.3,380.0,434.0,-2.0,ESP32
1780400449.1138089,EP2,208.0,129.0,-41.3,380.0,434.0,-2.0,ESP32
1780400449.1615562,EP2,210.0,130.0,-41.3,380.0,434.0,-2.0,ESP32
1780400449.2051222,EP2,212.0,132.0,-41.3,380.0,434.0,-2.0,ESP32
1780400449.2402022,EP2,212.0,132.0,-41.3,380.0,434.0,-2.0,ESP32
1780400449.2817502,EP2,214.0,134.0,-41.4,380.0,434.0,-2.0,ESP32
1780400449.3307643,EP2,219.0,137.0,-43.2,380.0,434.0,-2.0,ESP32
1780400449.3614876,EP2,219.0,137.0,-43.2,380.0,434.0,-2.0,ESP32
1780400449.408256,EP2,221.0,139.0,-43.2,380.0,434.0,-2.0,ESP32
1780400449.453075,EP2,225.0,144.0,-41.4,380.0,434.0,-2.0,ESP32
1780400449.4856148,EP2,227.0,146.0,-41.4,380.0,434.0,-2.0,ESP32
1780400449.5320718,EP2,229.0,147.0,-44.1,380.0,434.0,-2.0,ESP32
1780400449.5750837,EP2,231.0,149.0,-44.1,380.0,434.0,-2.0,ESP32
1780400449.6243293,EP2,233.0,151.0,-45.0,380.0,434.0,-2.0,ESP32
1780400449.653614,EP2,235.0,153.0,-45.0,380.0,434.0,-2.0,ESP32
1780400449.6998773,EP2,238.0,156.0,-44.1,380.0,434.0,-2.0,ESP32
1780400449.7469084,EP2,240.0,157.0,-46.8,380.0,434.0,-2.0,ESP32
1780400449.779179,EP2,242.0,159.0,-45.9,380.0,434.0,-2.0,ESP32
1780400449.8232486,EP2,244.0,161.0,-45.9,380.0,434.0,-2.0,ESP32
1780400449.8725443,EP2,246.0,163.0,-46.7,380.0,434.0,-2.0,ESP32
1780400449.9024587,EP2,248.0,165.0,-46.7,380.0,434.0,-2.0,ESP32
1780400449.9655843,EP2,251.0,167.0,-46.8,380.0,434.0,-2.0,ESP32
1780400449.9989595,EP2,253.0,170.0,-47.7,380.0,434.0,-2.0,ESP32
1780400450.0247238,EP2,255.0,172.0,-46.8,380.0,434.0,-2.0,ESP32
1780400450.075763,EP2,257.0,174.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.1217573,EP2,259.0,176.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.1505857,EP2,261.0,178.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.1974862,EP2,261.0,178.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.2448256,EP2,263.0,180.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.2888234,EP2,265.0,183.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.3233225,EP2,269.0,187.0,-49.4,380.0,434.0,-2.0,ESP32
1780400450.369482,EP2,271.0,190.0,-47.6,380.0,434.0,-2.0,ESP32
1780400450.4174483,EP2,273.0,192.0,-46.7,380.0,434.0,-2.0,ESP32
1780400450.4456744,EP2,275.0,194.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.49253,EP2,275.0,194.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.5390515,EP2,279.0,199.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.5703685,EP2,282.0,201.0,-50.2,380.0,434.0,-2.0,ESP32
1780400450.6168149,EP2,284.0,203.0,-50.4,380.0,434.0,-2.0,ESP32
1780400450.6614516,EP2,285.0,206.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.7094467,EP2,287.0,208.0,-48.5,380.0,434.0,-2.0,ESP32
1780400450.7403648,EP2,289.0,210.0,-49.3,380.0,434.0,-2.0,ESP32
1780400450.785807,EP2,292.0,212.0,-51.0,380.0,434.0,-2.0,ESP32
1780400450.830934,EP2,294.0,214.0,-51.0,380.0,434.0,-2.0,ESP32
1780400450.8637683,EP2,296.0,217.0,-50.2,380.0,434.0,-2.0,ESP32
1780400450.9116895,EP2,298.0,219.0,-52.7,380.0,434.0,-2.0,ESP32
1780400450.9550858,EP2,300.0,222.0,-51.1,380.0,434.0,-2.0,ESP32
1780400450.9878697,EP2,302.0,224.0,-51.9,380.0,434.0,-2.0,ESP32
1780400451.0374248,EP2,303.0,226.0,-51.7,380.0,434.0,-2.0,ESP32
1780400451.0793955,EP2,305.0,229.0,-50.2,380.0,434.0,-2.0,ESP32
1780400451.1134086,EP2,307.0,231.0,-51.7,380.0,434.0,-2.0,ESP32
1780400451.1607406,EP2,309.0,234.0,-51.9,380.0,434.0,-2.0,ESP32
1780400451.2028613,EP2,311.0,236.0,-52.7,380.0,434.0,-2.0,ESP32
1780400451.2325125,EP2,313.0,238.0,-53.4,380.0,434.0,-2.0,ESP32
1780400451.2827249,EP2,315.0,241.0,-53.4,380.0,434.0,-2.0,ESP32
1780400451.331351,EP2,316.0,244.0,-52.4,380.0,434.0,-2.0,ESP32
