tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780400978.6794622,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.7130325,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.743168,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.7886045,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.836136,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.866897,EP2,445.0,405.0,-7.3,158.0,112.0,85.0,ESP32
1780400978.9128163,EP2,446.0,403.0,-1.1,158.0,112.0,85.0,ESP32
1780400978.9602814,EP2,446.0,401.0,8.9,158.0,112.0,85.0,ESP32
1780400978.9928575,EP2,446.0,398.0,19.2,158.0,112.0,85.0,ESP32
1780400979.0354767,EP2,444.0,396.0,29.2,158.0,112.0,85.0,ESP32
1780400979.0840669,EP2,443.0,394.0,41.6,158.0,112.0,85.0,ESP32
1780400979.1292536,EP2,443.0,394.0,41.6,158.0,112.0,85.0,ESP32
1780400979.156188,EP2,442.0,392.0,52.7,158.0,112.0,85.0,ESP32
1780400979.2050228,EP2,440.0,391.0,64.0,158.0,112.0,85.0,ESP32
1780400979.2516413,EP2,438.0,390.0,75.4,158.0,112.0,85.0,ESP32
1780400979.2805305,EP2,436.0,389.0,86.3,158.0,112.0,85.0,ESP32
1780400979.3281682,EP2,431.0,389.0,107.7,158.0,112.0,85.0,ESP32
1780400979.3717225,EP2,429.0,389.0,118.2,158.0,112.0,85.0,ESP32
1780400979.4040296,EP2,429.0,389.0,118.2,158.0,112.0,85.0,ESP32
1780400979.8641512,EP2,398.0,377.0,149.7,158.0,112.0,85.0,ESP32
1780400980.0838096,EP2,384.0,369.0,151.3,158.0,112.0,85.0,ESP32
1780400980.2011423,EP2,378.0,366.0,154.0,158.0,112.0,85.0,ESP32
1780400980.2497675,EP2,372.0,362.0,150.7,158.0,112.0,85.0,ESP32
1780400980.2946234,EP2,372.0,362.0,150.7,158.0,112.0,85.0,ESP32
1780400980.3268785,EP2,369.0,360.0,150.7,158.0,112.0,85.0,ESP32
1780400980.3730536,EP2,363.0,356.0,150.1,158.0,112.0,85.0,ESP32
1780400980.4214797,EP2,360.0,354.0,151.2,158.0,112.0,85.0,ESP32
