tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1781022250.5293047,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.5616663,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.5939648,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.6394641,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.6871977,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.7193685,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.7633152,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.8121698,EP2,356.0,53.0,-84.9,155.0,402.0,-176.0,ESP32
1781022250.8420718,EP2,356.0,54.0,-86.1,155.0,402.0,-176.0,ESP32
1781022250.8882596,EP2,355.0,57.0,-85.9,155.0,402.0,-176.0,ESP32
1781022250.9334004,EP2,356.0,59.0,-88.7,155.0,402.0,-176.0,ESP32
1781022250.9823058,EP2,355.0,62.0,-87.4,155.0,402.0,-176.0,ESP32
1781022251.0102515,EP2,355.0,64.0,-88.7,155.0,402.0,-176.0,ESP32
1781022251.0550537,EP2,355.0,67.0,-90.0,155.0,402.0,-176.0,ESP32
1781022251.1032398,EP2,355.0,70.0,-90.0,155.0,402.0,-176.0,ESP32
1781022251.1346617,EP2,355.0,73.0,-90.0,155.0,402.0,-176.0,ESP32
1781022251.1836908,EP2,355.0,76.0,-90.0,155.0,402.0,-176.0,ESP32
1781022251.2303045,EP2,355.0,79.0,-91.3,155.0,402.0,-176.0,ESP32
1781022251.260122,EP2,355.0,82.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.3060722,EP2,355.0,84.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.353888,EP2,355.0,87.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.3843863,EP2,355.0,87.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.4290867,EP2,355.0,90.0,-93.9,155.0,402.0,-176.0,ESP32
1781022251.4792542,EP2,354.0,96.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.5102587,EP2,354.0,99.0,-93.9,155.0,402.0,-176.0,ESP32
1781022251.556072,EP2,354.0,102.0,-95.2,155.0,402.0,-176.0,ESP32
1781022251.6019258,EP2,353.0,105.0,-92.5,155.0,402.0,-176.0,ESP32
1781022251.6352422,EP2,353.0,107.0,-93.7,155.0,402.0,-176.0,ESP32
1781022251.6809194,EP2,353.0,110.0,-95.0,155.0,402.0,-176.0,ESP32
1781022251.7270708,EP2,353.0,113.0,-95.0,155.0,402.0,-176.0,ESP32
1781022251.7581735,EP2,352.0,117.0,-95.1,155.0,402.0,-176.0,ESP32
1781022251.806282,EP2,352.0,120.0,-96.3,155.0,402.0,-176.0,ESP32
1781022251.8533766,EP2,351.0,122.0,-94.9,155.0,402.0,-176.0,ESP32
1781022251.8834043,EP2,351.0,125.0,-96.2,155.0,402.0,-176.0,ESP32
1781022251.934291,EP2,351.0,129.0,-97.6,155.0,402.0,-176.0,ESP32
1781022251.9793856,EP2,350.0,131.0,-96.2,155.0,402.0,-176.0,ESP32
1781022252.0091164,EP2,350.0,134.0,-97.4,155.0,402.0,-176.0,ESP32
1781022252.0584157,EP2,349.0,137.0,-97.3,155.0,402.0,-176.0,ESP32
1781022252.1037893,EP2,349.0,141.0,-97.6,155.0,402.0,-176.0,ESP32
1781022252.1351802,EP2,349.0,144.0,-100.1,155.0,402.0,-176.0,ESP32
1781022252.1809037,EP2,348.0,146.0,-99.7,155.0,402.0,-176.0,ESP32
1781022252.227458,EP2,348.0,149.0,-99.5,155.0,402.0,-176.0,ESP32
1781022252.2572749,EP2,347.0,153.0,-98.8,155.0,402.0,-176.0,ESP32
1781022252.304616,EP2,347.0,156.0,-99.9,155.0,402.0,-176.0,ESP32
1781022252.353439,EP2,346.0,158.0,-98.5,155.0,402.0,-176.0,ESP32
1781022252.399933,EP2,346.0,161.0,-100.8,155.0,402.0,-176.0,ESP32
1781022252.43104,EP2,345.0,165.0,-99.7,155.0,402.0,-176.0,ESP32
1781022252.4784722,EP2,344.0,168.0,-99.7,155.0,402.0,-176.0,ESP32
1781022252.5227573,EP2,344.0,171.0,-101.1,155.0,402.0,-176.0,ESP32
1781022252.5544057,EP2,343.0,174.0,-101.1,155.0,402.0,-176.0,ESP32
1781022252.6006806,EP2,343.0,177.0,-101.8,155.0,402.0,-176.0,ESP32
1781022252.6454575,EP2,342.0,180.0,-102.0,155.0,402.0,-176.0,ESP32
1781022252.6772456,EP2,341.0,183.0,-100.6,155.0,402.0,-176.0,ESP32
1781022252.7238092,EP2,340.0,186.0,-100.8,155.0,402.0,-176.0,ESP32
1781022252.7700317,EP2,340.0,189.0,-102.9,155.0,402.0,-176.0,ESP32
1781022252.80229,EP2,339.0,192.0,-102.9,155.0,402.0,-176.0,ESP32
1781022252.8469691,EP2,338.0,195.0,-102.9,155.0,402.0,-176.0,ESP32
1781022252.8975236,EP2,338.0,198.0,-104.0,155.0,402.0,-176.0,ESP32
1781022252.9283404,EP2,337.0,201.0,-103.8,155.0,402.0,-176.0,ESP32
1781022252.973456,EP2,336.0,204.0,-103.8,155.0,402.0,-176.0,ESP32
1781022253.0184298,EP2,335.0,207.0,-103.8,155.0,402.0,-176.0,ESP32
1781022253.0512846,EP2,335.0,210.0,-104.9,155.0,402.0,-176.0,ESP32
1781022253.098152,EP2,334.0,213.0,-105.9,155.0,402.0,-176.0,ESP32
1781022253.144736,EP2,333.0,216.0,-105.2,155.0,402.0,-176.0,ESP32
1781022253.178347,EP2,332.0,220.0,-106.6,155.0,402.0,-176.0,ESP32
1781022253.2221987,EP2,331.0,222.0,-104.9,155.0,402.0,-176.0,ESP32
