tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780476606.5205739,EP2,126.0,432.0,113.0,436.0,111.0,0.0,ESP32
1780476606.5526056,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.5985928,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.6456401,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.6782556,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.7196636,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.7697182,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.8153167,EP2,126.0,433.0,112.5,436.0,111.0,0.0,ESP32
1780476606.844848,EP2,126.0,433.0,112.0,436.0,111.0,0.0,ESP32
1780476606.8924365,EP2,126.0,433.0,112.0,436.0,111.0,0.0,ESP32
1780476606.9370506,EP2,126.0,433.0,112.0,436.0,111.0,0.0,ESP32
1780476606.9640782,EP2,127.0,432.0,110.1,436.0,111.0,0.0,ESP32
1780476607.0116928,EP2,127.0,432.0,103.4,436.0,111.0,0.0,ESP32
1780476607.06194,EP2,129.0,431.0,99.5,436.0,111.0,0.0,ESP32
1780476607.0899236,EP2,130.0,432.0,88.7,436.0,111.0,0.0,ESP32
1780476607.1403165,EP2,132.0,431.0,83.0,436.0,111.0,0.0,ESP32
1780476607.1869836,EP2,132.0,431.0,83.0,436.0,111.0,0.0,ESP32
1780476607.2162943,EP2,136.0,432.0,67.7,436.0,111.0,0.0,ESP32
1780476607.2618644,EP2,136.0,432.0,67.7,436.0,111.0,0.0,ESP32
1780476607.3075247,EP2,139.0,430.0,62.2,436.0,111.0,0.0,ESP32
1780476607.3393984,EP2,140.0,428.0,59.3,436.0,111.0,0.0,ESP32
1780476607.3846962,EP2,141.0,426.0,58.8,436.0,111.0,0.0,ESP32
1780476607.4329476,EP2,142.0,423.0,56.3,436.0,111.0,0.0,ESP32
1780476607.4796805,EP2,144.0,421.0,57.4,436.0,111.0,0.0,ESP32
1780476607.5113916,EP2,145.0,419.0,57.4,436.0,111.0,0.0,ESP32
