tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780476981.3972669,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.4330735,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.4782403,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.508342,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.5581813,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.6025043,EP2,125.0,429.0,116.6,436.0,111.0,0.0,ESP32
1780476981.6350863,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.677732,EP2,125.0,429.0,115.4,436.0,111.0,0.0,ESP32
1780476981.726723,EP2,125.0,430.0,111.8,436.0,111.0,0.0,ESP32
1780476981.7559862,EP2,127.0,429.0,108.9,436.0,111.0,0.0,ESP32
1780476981.802915,EP2,128.0,429.0,99.2,436.0,111.0,0.0,ESP32
1780476981.8493452,EP2,130.0,429.0,92.7,436.0,111.0,0.0,ESP32
1780476981.8794804,EP2,132.0,429.0,85.9,436.0,111.0,0.0,ESP32
1780476981.9257648,EP2,133.0,430.0,75.0,436.0,111.0,0.0,ESP32
1780476981.9732244,EP2,135.0,431.0,68.2,436.0,111.0,0.0,ESP32
1780476982.016771,EP2,137.0,432.0,59.9,436.0,111.0,0.0,ESP32
1780476982.0495973,EP2,138.0,431.0,56.3,436.0,111.0,0.0,ESP32
1780476982.0972733,EP2,140.0,430.0,54.5,436.0,111.0,0.0,ESP32
1780476982.1406653,EP2,141.0,428.0,51.5,436.0,111.0,0.0,ESP32
1780476982.1845243,EP2,143.0,426.0,51.5,436.0,111.0,0.0,ESP32
1780476982.2155592,EP2,145.0,424.0,51.5,436.0,111.0,0.0,ESP32
1780476982.2623618,EP2,146.0,422.0,50.5,436.0,111.0,0.0,ESP32
1780476982.3121982,EP2,148.0,420.0,50.5,436.0,111.0,0.0,ESP32
1780476982.3415754,EP2,150.0,417.0,48.8,436.0,111.0,0.0,ESP32
1780476982.3868742,EP2,152.0,415.0,49.8,436.0,111.0,0.0,ESP32
1780476982.4323668,EP2,154.0,413.0,49.8,436.0,111.0,0.0,ESP32
1780476982.4680932,EP2,155.0,411.0,50.5,436.0,111.0,0.0,ESP32
1780476982.5133355,EP2,155.0,409.0,53.4,436.0,111.0,0.0,ESP32
1780476982.558187,EP2,157.0,407.0,55.6,436.0,111.0,0.0,ESP32
1780476982.5894206,EP2,157.0,407.0,55.6,436.0,111.0,0.0,ESP32
1780476982.6340303,EP2,160.0,403.0,56.7,436.0,111.0,0.0,ESP32
1780476982.6812947,EP2,161.0,400.0,55.6,436.0,111.0,0.0,ESP32
1780476982.7262425,EP2,162.0,398.0,54.2,436.0,111.0,0.0,ESP32
1780476982.7595913,EP2,164.0,396.0,56.3,436.0,111.0,0.0,ESP32
1780476982.802612,EP2,165.0,394.0,55.2,436.0,111.0,0.0,ESP32
1780476982.850486,EP2,167.0,391.0,55.6,436.0,111.0,0.0,ESP32
1780476982.881205,EP2,169.0,389.0,56.3,436.0,111.0,0.0,ESP32
1780476982.925951,EP2,170.0,387.0,55.2,436.0,111.0,0.0,ESP32
1780476982.9701078,EP2,172.0,385.0,56.3,436.0,111.0,0.0,ESP32
1780476983.0178826,EP2,173.0,382.0,53.7,436.0,111.0,0.0,ESP32
1780476983.0502155,EP2,173.0,382.0,53.7,436.0,111.0,0.0,ESP32
1780476983.095428,EP2,176.0,378.0,54.2,436.0,111.0,0.0,ESP32
1780476983.1408567,EP2,178.0,375.0,52.6,436.0,111.0,0.0,ESP32
1780476983.1739917,EP2,180.0,373.0,53.7,436.0,111.0,0.0,ESP32
1780476983.2178965,EP2,182.0,371.0,54.5,436.0,111.0,0.0,ESP32
1780476983.2634337,EP2,183.0,369.0,54.2,436.0,111.0,0.0,ESP32
1780476983.3115916,EP2,185.0,366.0,52.6,436.0,111.0,0.0,ESP32
1780476983.3443515,EP2,187.0,364.0,53.4,436.0,111.0,0.0,ESP32
1780476983.391611,EP2,188.0,362.0,52.4,436.0,111.0,0.0,ESP32
1780476983.4361832,EP2,190.0,360.0,53.4,436.0,111.0,0.0,ESP32
1780476983.4650645,EP2,192.0,357.0,51.8,436.0,111.0,0.0,ESP32
1780476983.5132022,EP2,194.0,355.0,52.6,436.0,111.0,0.0,ESP32
1780476983.556166,EP2,195.0,353.0,52.4,436.0,111.0,0.0,ESP32
1780476983.5888321,EP2,195.0,353.0,52.4,436.0,111.0,0.0,ESP32
1780476983.6358385,EP2,199.0,348.0,51.5,436.0,111.0,0.0,ESP32
1780476983.6837387,EP2,199.0,348.0,51.5,436.0,111.0,0.0,ESP32
1780476983.715029,EP2,200.0,346.0,50.5,436.0,111.0,0.0,ESP32
