tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1780478271.3347478,EP2,117.0,434.0,111.3,436.0,111.0,0.0,SERVIDOR
1780478271.3706388,EP2,117.0,434.0,111.3,436.0,111.0,0.0,SERVIDOR
1780478271.4163544,EP2,117.0,434.0,111.3,436.0,111.0,0.0,SERVIDOR
1780478271.4458199,EP2,117.0,434.0,111.3,436.0,111.0,0.0,SERVIDOR
1780478271.4931786,EP2,117.0,434.0,111.3,436.0,111.0,0.0,SERVIDOR
1780478271.5398147,EP2,118.0,434.0,110.9,436.0,111.0,0.0,SERVIDOR
1780478271.574017,EP2,118.0,434.0,110.9,436.0,111.0,0.0,SERVIDOR
1780478271.615229,EP2,120.0,434.0,100.5,436.0,111.0,0.0,SERVIDOR
1780478271.6626177,EP2,122.0,434.0,93.9,436.0,111.0,0.0,SERVIDOR
1780478271.6962607,EP2,122.0,434.0,93.9,436.0,111.0,0.0,SERVIDOR
1780478271.7408817,EP2,123.0,434.0,86.0,436.0,111.0,0.0,SERVIDOR
1780478271.78878,EP2,126.0,435.0,74.1,436.0,111.0,0.0,SERVIDOR
1780478271.8335946,EP2,126.0,435.0,74.1,436.0,111.0,0.0,SERVIDOR
1780478271.8615105,EP2,127.0,436.0,67.7,436.0,111.0,0.0,SERVIDOR
1780478271.9079034,EP2,129.0,434.0,61.6,436.0,111.0,0.0,SERVIDOR
1780478271.9555387,EP2,129.0,434.0,61.6,436.0,111.0,0.0,SERVIDOR
1780478271.9868007,EP2,130.0,433.0,61.7,436.0,111.0,0.0,SERVIDOR
1780478272.030867,EP2,132.0,430.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.077851,EP2,134.0,425.0,60.4,436.0,111.0,0.0,SERVIDOR
1780478272.1259325,EP2,135.0,423.0,61.7,436.0,111.0,0.0,SERVIDOR
1780478272.1554666,EP2,135.0,423.0,61.7,436.0,111.0,0.0,SERVIDOR
1780478272.2038682,EP2,138.0,418.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.2510328,EP2,139.0,416.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.278049,EP2,139.0,416.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.3250334,EP2,142.0,411.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.3716652,EP2,143.0,408.0,59.9,436.0,111.0,0.0,SERVIDOR
1780478272.4039383,EP2,143.0,408.0,59.9,436.0,111.0,0.0,SERVIDOR
1780478272.4489083,EP2,144.0,406.0,59.9,436.0,111.0,0.0,SERVIDOR
1780478272.4964128,EP2,147.0,402.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.5271227,EP2,147.0,402.0,61.1,436.0,111.0,0.0,SERVIDOR
1780478272.5721233,EP2,148.0,399.0,59.9,436.0,111.0,0.0,SERVIDOR
1780478272.6194348,EP2,151.0,394.0,59.3,436.0,111.0,0.0,SERVIDOR
1780478272.6642027,EP2,152.0,392.0,58.1,436.0,111.0,0.0,SERVIDOR
1780478272.6979926,EP2,152.0,392.0,58.1,436.0,111.0,0.0,SERVIDOR
1780478272.743002,EP2,154.0,390.0,59.3,436.0,111.0,0.0,SERVIDOR
1780478272.7876635,EP2,155.0,388.0,59.3,436.0,111.0,0.0,SERVIDOR
1780478272.8324807,EP2,158.0,383.0,59.3,436.0,111.0,0.0,SERVIDOR
1780478272.8634398,EP2,158.0,383.0,59.3,436.0,111.0,0.0,SERVIDOR
1780478272.9089184,EP2,160.0,380.0,58.6,436.0,111.0,0.0,SERVIDOR
1780478272.956725,EP2,163.0,376.0,58.1,436.0,111.0,0.0,SERVIDOR
1780478272.9876068,EP2,163.0,376.0,58.1,436.0,111.0,0.0,SERVIDOR
1780478273.0342894,EP2,165.0,371.0,55.2,436.0,111.0,0.0,SERVIDOR
1780478273.0829875,EP2,167.0,369.0,56.0,436.0,111.0,0.0,SERVIDOR
1780478273.1138322,EP2,167.0,369.0,56.0,436.0,111.0,0.0,SERVIDOR
1780478273.1593769,EP2,168.0,367.0,56.0,436.0,111.0,0.0,SERVIDOR
1780478273.2075424,EP2,172.0,362.0,57.0,436.0,111.0,0.0,SERVIDOR
1780478273.240287,EP2,172.0,362.0,57.0,436.0,111.0,0.0,SERVIDOR
1780478273.2835963,EP2,173.0,359.0,55.6,436.0,111.0,0.0,SERVIDOR
1780478273.3280838,EP2,176.0,355.0,56.0,436.0,111.0,0.0,SERVIDOR
1780478273.360873,EP2,176.0,355.0,56.0,436.0,111.0,0.0,SERVIDOR
1780478273.4069154,EP2,179.0,350.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.454015,EP2,179.0,350.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.4863155,EP2,181.0,348.0,55.2,436.0,111.0,0.0,SERVIDOR
1780478273.5322149,EP2,182.0,346.0,55.2,436.0,111.0,0.0,SERVIDOR
1780478273.579633,EP2,185.0,341.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.611318,EP2,185.0,341.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.6549335,EP2,187.0,339.0,55.2,436.0,111.0,0.0,SERVIDOR
1780478273.7038198,EP2,191.0,334.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.7494512,EP2,192.0,332.0,54.2,436.0,111.0,0.0,SERVIDOR
1780478273.7798579,EP2,192.0,332.0,54.2,436.0,111.0,0.0,SERVIDOR
1780478273.8241024,EP2,196.0,328.0,54.5,436.0,111.0,0.0,SERVIDOR
1780478273.87288,EP2,196.0,328.0,54.5,436.0,111.0,0.0,SERVIDOR
