timestamp,marker_id,x,y,theta
1779295908.835,1,407,144,-91.2
1779295908.835,0,79,154,-88.7
1779295908.868,1,407,144,-91.2
1779295908.868,0,79,154,-88.7
1779295908.914,1,407,144,-91.2
1779295908.914,0,79,154,-88.7
1779295908.961,1,407,144,-91.2
1779295908.961,0,79,154,-88.7
1779295908.993,1,407,144,-91.2
1779295908.993,0,79,154,-88.7
1779295909.039,1,407,144,-91.2
1779295909.039,0,79,154,-88.7
1779295909.072,1,407,144,-91.2
1779295909.072,0,79,154,-88.7
1779295909.117,1,407,144,-91.2
1779295909.117,0,79,154,-88.7
1779295909.162,1,407,144,-91.2
1779295909.162,0,79,154,-88.7
1779295909.209,1,407,144,-91.2
1779295909.209,0,79,154,-88.7
1779295909.241,1,407,144,-91.2
1779295909.241,0,79,154,-88.7
1779295909.287,1,407,144,-91.2
1779295909.287,0,79,154,-88.7
1779295909.331,1,407,144,-91.2
1779295909.331,0,79,154,-88.7
1779295909.364,1,407,144,-91.2
1779295909.364,0,79,154,-88.7
1779295909.412,1,407,144,-91.2
1779295909.412,0,79,154,-88.7
1779295909.460,1,407,144,-91.2
1779295909.460,0,79,154,-88.7
1779295909.490,1,407,144,-91.2
1779295909.490,0,79,154,-88.7
1779295909.537,1,407,144,-91.2
1779295909.537,0,79,154,-88.7
1779295909.584,1,407,144,-91.2
1779295909.584,0,79,154,-88.7
1779295909.614,1,407,144,-91.2
1779295909.614,0,79,154,-88.7
1779295909.661,1,407,144,-91.2
1779295909.661,0,79,154,-88.7
1779295909.709,1,407,144,-91.2
1779295909.709,0,79,154,-88.7
1779295909.738,1,407,144,-91.2
1779295909.738,0,79,154,-88.7
1779295909.785,1,407,144,-91.2
1779295909.785,0,79,154,-88.7
1779295909.832,1,407,144,-91.2
1779295909.832,0,79,154,-88.7
1779295909.862,1,407,144,-91.2
1779295909.862,0,79,154,-88.7
1779295909.910,1,407,144,-91.2
1779295909.910,0,79,154,-88.7
1779295909.957,1,407,144,-91.2
1779295909.957,0,79,154,-88.7
