timestamp,marker_id,x,y,theta
1779292044.450,1,420,251,-86.9
1779292044.450,0,83,251,-98.4
1779292044.486,1,420,251,-86.9
1779292044.486,0,83,251,-98.4
1779292044.514,1,420,251,-86.9
1779292044.514,0,83,251,-98.4
1779292044.560,1,420,251,-86.9
1779292044.560,0,83,251,-98.4
1779292044.607,1,420,251,-86.9
1779292044.607,0,83,251,-98.4
1779292044.637,1,420,251,-86.9
1779292044.637,0,83,251,-98.4
1779292044.684,1,420,251,-86.9
1779292044.684,0,83,251,-98.4
1779292044.732,1,420,251,-86.9
1779292044.732,0,83,251,-98.4
1779292044.762,1,420,251,-86.9
1779292044.762,0,83,251,-98.4
1779292044.810,1,420,251,-86.9
1779292044.810,0,83,251,-98.4
1779292044.856,1,420,251,-86.9
1779292044.856,0,83,251,-98.4
1779292044.887,1,420,251,-86.9
1779292044.887,0,83,251,-98.4
1779292044.933,1,420,251,-86.9
1779292044.933,0,83,251,-98.4
1779292044.982,1,420,251,-86.9
1779292044.982,0,83,251,-98.4
1779292045.011,1,420,251,-86.9
1779292045.011,0,83,251,-98.4
1779292045.058,1,420,251,-86.9
1779292045.058,0,83,251,-98.4
1779292045.105,1,420,251,-86.9
1779292045.105,0,83,251,-98.4
1779292045.149,1,420,251,-86.9
1779292045.149,0,83,251,-98.4
1779292045.181,1,420,251,-86.9
1779292045.181,0,83,251,-98.4
1779292045.231,1,420,251,-86.9
1779292045.231,0,83,251,-98.4
1779292045.263,1,420,251,-86.9
1779292045.263,0,83,251,-98.4
1779292045.308,1,420,251,-86.9
1779292045.308,0,83,251,-98.4
1779292045.355,1,420,251,-86.9
1779292045.355,0,83,251,-98.4
1779292045.388,1,420,251,-86.9
1779292045.388,0,83,251,-98.4
1779292045.434,1,420,251,-86.9
1779292045.434,0,83,251,-98.4
1779292045.481,1,420,251,-86.9
1779292045.481,0,83,251,-98.4
1779292045.511,1,420,251,-86.9
1779292045.511,0,83,251,-98.4
1779292045.556,1,420,251,-86.9
1779292045.556,0,83,251,-98.4
1779292045.604,1,420,251,-86.9
1779292045.604,0,83,251,-98.4
1779292045.650,1,420,251,-86.9
1779292045.650,0,83,251,-98.4
1779292045.683,1,420,251,-86.9
1779292045.683,0,83,251,-98.4
1779292045.731,1,420,251,-86.9
1779292045.731,0,83,251,-98.4
1779292045.760,1,420,251,-86.9
1779292045.760,0,83,251,-98.4
1779292045.807,1,420,251,-86.9
1779292045.807,0,83,251,-98.4
1779292045.852,1,420,251,-86.9
1779292045.852,0,83,251,-98.4
1779292045.897,1,420,251,-86.9
1779292045.897,0,83,251,-98.4
1779292045.928,1,420,251,-86.9
1779292045.928,0,83,251,-98.4
1779292045.976,1,420,251,-86.9
1779292045.976,0,83,251,-98.4
1779292046.022,1,420,251,-86.9
1779292046.022,0,83,251,-98.4
1779292046.056,1,420,251,-86.9
1779292046.056,0,83,251,-98.4
1779292046.103,1,420,251,-86.9
1779292046.103,0,83,251,-98.4
1779292046.148,1,420,251,-86.9
1779292046.148,0,83,251,-98.4
1779292046.181,1,420,251,-86.9
1779292046.181,0,83,251,-98.4
1779292046.230,1,420,251,-86.9
1779292046.230,0,83,251,-98.4
1779292046.276,1,420,251,-86.9
1779292046.276,0,83,251,-98.4
1779292046.307,1,420,251,-86.9
1779292046.307,0,83,251,-98.4
1779292046.353,1,420,251,-86.9
1779292046.353,0,83,251,-98.4
1779292046.385,1,420,251,-86.9
1779292046.385,0,83,251,-98.4
1779292046.435,1,420,251,-86.9
1779292046.435,0,83,251,-98.4
1779292046.480,1,420,251,-86.9
1779292046.480,0,83,251,-98.4
1779292046.508,1,420,251,-86.9
1779292046.508,0,83,251,-98.4
1779292046.558,1,420,251,-86.9
1779292046.558,0,83,251,-98.4
1779292046.603,1,420,251,-86.9
1779292046.603,0,83,251,-98.4
1779292046.650,1,420,251,-86.9
1779292046.650,0,83,251,-98.4
1779292046.682,1,420,251,-86.9
1779292046.682,0,83,251,-98.4
1779292046.729,1,420,251,-86.9
1779292046.729,0,83,251,-98.4
1779292046.759,1,420,251,-86.9
1779292046.759,0,83,251,-98.4
1779292046.808,1,420,251,-86.9
1779292046.808,0,83,251,-98.4
1779292046.855,1,420,251,-86.9
1779292046.855,0,83,251,-98.4
1779292046.898,1,420,251,-86.9
1779292046.898,0,83,251,-98.4
1779292046.931,1,420,251,-86.9
1779292046.931,0,83,251,-98.4
1779292046.977,1,420,251,-86.9
1779292046.977,0,83,251,-98.4
1779292047.022,1,420,251,-86.9
1779292047.022,0,83,251,-98.4
1779292047.053,1,420,251,-86.9
1779292047.053,0,83,251,-98.4
1779292047.101,1,420,251,-86.9
1779292047.101,0,83,251,-98.4
1779292047.146,1,420,251,-86.9
1779292047.146,0,83,251,-98.4
1779292047.190,1,420,251,-86.9
1779292047.190,0,83,251,-98.4
1779292047.224,1,420,251,-86.9
1779292047.224,0,83,251,-98.4
