timestamp,marker_id,x,y,theta
1779295697.725,1,388,244,-88.8
1779295697.725,0,71,247,-90.0
1779295697.759,1,388,244,-88.8
1779295697.759,0,71,247,-90.0
1779295697.791,1,388,244,-88.8
1779295697.791,0,71,247,-90.0
1779295697.836,1,388,244,-88.8
1779295697.836,0,71,247,-90.0
1779295697.867,1,388,244,-88.8
1779295697.867,0,71,247,-90.0
1779295697.916,1,388,244,-88.8
1779295697.916,0,71,247,-90.0
1779295697.960,1,388,244,-88.8
1779295697.960,0,71,246,-90.0
1779295697.995,1,388,244,-88.8
1779295697.995,0,71,246,-90.0
1779295698.041,1,388,244,-88.8
1779295698.041,0,71,246,-90.0
1779295698.086,1,388,244,-88.8
1779295698.086,0,71,246,-90.0
1779295698.119,1,388,244,-88.8
1779295698.119,0,71,246,-90.0
1779295698.168,1,388,244,-88.8
1779295698.168,0,71,246,-90.0
1779295698.214,1,388,244,-88.8
1779295698.214,0,71,246,-90.0
1779295698.247,1,388,244,-88.8
1779295698.247,0,71,246,-90.0
1779295698.290,1,388,244,-88.8
1779295698.290,0,71,246,-90.0
1779295698.337,1,388,244,-88.8
1779295698.337,0,71,246,-90.0
1779295698.366,1,388,244,-88.8
1779295698.366,0,71,246,-90.0
1779295698.415,1,388,244,-88.8
1779295698.415,0,71,246,-90.0
1779295698.458,1,388,244,-88.8
1779295698.458,0,71,246,-90.0
1779295698.505,1,388,244,-88.8
1779295698.505,0,71,246,-90.0
1779295698.537,1,388,244,-88.8
1779295698.537,0,71,246,-90.0
1779295698.583,1,388,244,-88.8
1779295698.583,0,71,246,-90.0
1779295698.630,1,388,244,-88.8
1779295698.630,0,71,246,-90.0
1779295698.660,1,388,244,-88.8
1779295698.660,0,71,246,-90.0
1779295698.707,1,388,244,-88.8
1779295698.707,0,71,246,-90.0
1779295698.754,1,388,244,-88.8
1779295698.754,0,71,246,-90.0
1779295698.800,1,388,244,-88.8
1779295698.800,0,71,246,-90.0
1779295698.829,1,388,244,-88.8
1779295698.829,0,71,246,-90.0
1779295698.877,1,388,244,-88.8
1779295698.877,0,71,246,-90.0
1779295698.924,1,388,244,-88.8
1779295698.924,0,71,246,-90.0
1779295698.955,1,388,244,-88.8
1779295698.955,0,71,246,-90.0
1779295698.997,1,388,244,-88.8
1779295698.997,0,71,246,-90.0
1779295699.045,1,388,244,-88.8
1779295699.045,0,71,246,-90.0
1779295699.076,1,388,244,-88.8
1779295699.076,0,71,246,-90.0
1779295699.124,1,388,244,-88.8
1779295699.124,0,71,246,-90.0
1779295699.170,1,388,244,-88.8
1779295699.170,0,71,246,-90.0
1779295699.205,1,388,244,-88.8
1779295699.205,0,71,246,-90.0
1779295699.249,1,388,244,-88.8
1779295699.249,0,71,246,-90.0
1779295699.295,1,388,244,-88.8
1779295699.295,0,71,246,-90.0
1779295699.328,1,388,244,-88.8
1779295699.328,0,71,246,-90.0
1779295699.375,1,388,244,-88.8
1779295699.375,0,71,246,-90.0
1779295699.421,1,388,244,-88.8
1779295699.421,0,71,246,-90.0
1779295699.450,1,388,244,-88.8
1779295699.450,0,71,246,-90.0
1779295699.499,1,388,244,-88.8
1779295699.499,0,71,246,-90.0
1779295699.542,1,388,244,-88.8
1779295699.542,0,71,246,-90.0
1779295699.590,1,388,244,-88.8
1779295699.590,0,71,246,-90.0
1779295699.621,1,388,244,-88.8
1779295699.621,0,71,246,-90.0
1779295699.668,1,388,244,-88.8
1779295699.668,0,71,246,-90.0
1779295699.715,1,388,244,-88.8
1779295699.715,0,71,246,-90.0
1779295699.745,1,388,244,-88.8
1779295699.745,0,71,246,-90.0
1779295699.793,1,388,244,-88.8
1779295699.793,0,71,246,-90.0
1779295699.837,1,388,244,-88.8
1779295699.837,0,71,246,-90.0
1779295699.882,1,388,244,-88.8
1779295699.882,0,71,246,-90.0
1779295699.911,1,388,244,-88.8
1779295699.911,0,71,246,-90.0
1779295699.959,1,388,244,-88.8
1779295699.959,0,71,246,-90.0
1779295700.004,1,388,244,-88.8
1779295700.004,0,71,246,-90.0
1779295700.037,1,388,244,-88.8
1779295700.037,0,71,246,-90.0
1779295700.081,1,388,244,-88.8
1779295700.081,0,71,246,-90.0
1779295700.128,1,388,244,-88.8
1779295700.128,0,71,246,-90.0
1779295700.175,1,388,244,-88.8
1779295700.175,0,71,246,-90.0
1779295700.202,1,388,244,-88.8
1779295700.202,0,71,246,-90.0
1779295700.253,1,388,244,-88.8
1779295700.253,0,71,246,-90.0
1779295700.299,1,388,244,-88.8
1779295700.299,0,71,246,-90.0
1779295700.330,1,388,244,-88.8
1779295700.330,0,71,246,-90.0
1779295700.377,1,388,244,-88.8
1779295700.377,0,71,246,-90.0
1779295700.423,1,388,244,-88.8
1779295700.423,0,71,246,-90.0
1779295700.453,1,388,244,-88.8
1779295700.453,0,71,246,-90.0
1779295700.501,1,388,244,-88.8
1779295700.501,0,71,246,-90.0
1779295700.545,1,388,244,-88.8
1779295700.545,0,71,246,-90.0
1779295700.579,1,388,244,-88.8
1779295700.579,0,71,246,-90.0
1779295700.624,1,388,244,-88.8
1779295700.624,0,71,246,-90.0
1779295700.669,1,388,244,-88.8
1779295700.669,0,71,246,-90.0
1779295700.716,1,388,244,-88.8
1779295700.716,0,71,246,-90.0
1779295700.749,1,388,244,-88.8
1779295700.749,0,71,246,-90.0
1779295700.795,1,388,244,-88.8
1779295700.795,0,71,246,-90.0
1779295700.827,1,388,244,-88.8
1779295700.827,0,71,246,-90.0
1779295700.874,1,388,244,-88.8
1779295700.874,0,71,246,-90.0
1779295700.919,1,388,244,-88.8
1779295700.919,0,71,246,-90.0
1779295700.966,1,388,244,-88.8
1779295700.966,0,71,246,-90.0
1779295700.996,1,388,244,-88.8
1779295700.996,0,71,246,-90.0
1779295701.044,1,388,244,-88.8
1779295701.044,0,71,246,-90.0
1779295701.094,1,388,244,-88.8
1779295701.094,0,71,246,-90.0
1779295701.124,1,388,244,-88.8
1779295701.124,0,71,246,-90.0
1779295701.169,1,388,244,-88.8
1779295701.169,0,71,246,-90.0
1779295701.216,1,388,244,-88.8
1779295701.216,0,71,246,-90.0
1779295701.247,1,388,244,-88.8
1779295701.247,0,71,246,-90.0
1779295701.291,1,388,244,-88.8
1779295701.291,0,71,246,-90.0
1779295701.341,1,388,244,-88.8
1779295701.341,0,71,246,-90.0
1779295701.370,1,388,244,-88.8
1779295701.370,0,71,246,-90.0
1779295701.419,1,388,244,-88.8
1779295701.419,0,71,246,-90.0
1779295701.466,1,388,244,-88.8
1779295701.466,0,71,246,-90.0
1779295701.497,1,388,244,-88.8
1779295701.497,0,71,246,-90.0
1779295701.540,1,388,244,-88.8
1779295701.540,0,71,246,-90.0
1779295701.589,1,388,244,-88.8
1779295701.589,0,71,246,-90.0
1779295701.622,1,388,244,-88.8
1779295701.622,0,71,246,-90.0
1779295701.667,1,388,244,-88.8
1779295701.667,0,71,246,-90.0
1779295701.712,1,388,244,-88.8
1779295701.712,0,71,246,-90.0
1779295701.744,1,388,244,-88.8
1779295701.744,0,71,246,-90.0
1779295701.792,1,388,244,-88.8
1779295701.792,0,71,246,-90.0
1779295701.838,1,388,244,-88.8
1779295701.838,0,71,246,-90.0
1779295701.868,1,388,244,-88.8
1779295701.868,0,71,246,-90.0
1779295701.914,1,388,244,-88.8
1779295701.914,0,71,246,-90.0
1779295701.961,1,388,244,-88.8
1779295701.961,0,71,246,-90.0
1779295702.007,1,388,244,-88.8
1779295702.007,0,71,246,-90.0
1779295702.036,1,388,244,-88.8
1779295702.036,0,71,246,-90.0
1779295702.084,1,388,244,-88.8
1779295702.084,0,71,246,-90.0
1779295702.132,1,388,244,-88.8
1779295702.132,0,71,246,-90.0
1779295702.162,1,388,244,-88.8
1779295702.162,0,71,246,-90.0
1779295702.209,1,388,244,-88.8
1779295702.209,0,71,246,-90.0
1779295702.254,1,388,244,-88.8
1779295702.254,0,71,246,-90.0
1779295702.285,1,388,244,-88.8
1779295702.285,0,71,246,-90.0
1779295702.334,1,388,244,-88.8
1779295702.334,0,71,246,-90.0
1779295702.379,1,388,244,-88.8
1779295702.379,0,71,246,-90.0
1779295702.411,1,388,244,-88.8
1779295702.411,0,71,246,-90.0
1779295702.458,1,388,244,-88.8
1779295702.458,0,71,246,-90.0
1779295702.501,1,388,244,-88.8
1779295702.501,0,71,246,-90.0
1779295702.549,1,388,244,-88.8
1779295702.549,0,71,246,-90.0
1779295702.580,1,388,244,-88.8
1779295702.580,0,71,246,-90.0
1779295702.629,1,388,244,-90.0
1779295702.629,0,71,247,-88.8
1779295702.676,1,388,247,-88.8
1779295702.676,0,71,249,-88.8
1779295702.704,1,388,247,-88.8
1779295702.704,0,71,249,-88.8
1779295702.750,1,388,250,-86.3
1779295702.750,0,71,252,-90.0
1779295702.796,1,388,251,-86.4
1779295702.796,0,71,254,-90.0
1779295702.827,1,388,251,-86.4
1779295702.827,0,71,254,-90.0
1779295702.875,1,389,253,-86.3
1779295702.875,0,71,256,-90.0
1779295702.922,1,389,254,-85.2
1779295702.922,0,71,258,-88.8
1779295702.953,1,389,256,-84.1
1779295702.953,0,71,260,-88.8
1779295703.000,1,389,258,-81.7
1779295703.000,0,71,262,-88.8
1779295703.046,1,390,261,-79.6
1779295703.046,0,71,267,-88.7
1779295703.076,1,390,261,-79.6
1779295703.076,0,71,267,-88.7
1779295703.125,1,391,263,-79.4
1779295703.125,0,71,269,-88.7
1779295703.171,1,392,267,-79.2
1779295703.171,0,71,273,-88.8
1779295703.214,1,392,268,-77.1
1779295703.214,0,71,276,-88.7
1779295703.246,1,392,268,-77.1
1779295703.246,0,71,276,-88.7
1779295703.294,1,394,272,-76.0
1779295703.294,0,71,280,-88.7
1779295703.340,1,394,272,-76.0
1779295703.340,0,71,280,-88.7
1779295703.371,1,394,274,-73.7
1779295703.371,0,71,283,-90.0
1779295703.421,1,395,276,-74.5
1779295703.421,0,71,285,-91.3
1779295703.469,1,396,278,-73.1
1779295703.469,0,71,287,-90.0
1779295703.499,1,397,279,-73.7
1779295703.499,0,71,289,-90.0
1779295703.545,1,397,281,-72.6
1779295703.545,0,71,292,-91.3
1779295703.592,1,399,285,-72.6
1779295703.592,0,71,296,-91.2
1779295703.621,1,399,285,-72.6
1779295703.621,0,71,296,-91.2
1779295704.741,1,423,326,-52.9
1779295704.741,0,70,354,-90.0
1779295704.762,1,423,326,-52.0
1779295704.762,0,70,355,-87.6
1779295704.790,1,424,326,-52.0
1779295704.790,0,70,358,-85.0
1779295704.822,1,424,326,-52.0
1779295704.822,0,70,358,-85.0
1779295704.854,1,424,326,-52.0
1779295704.854,0,71,359,-85.1
1779295704.881,1,423,326,-50.3
1779295704.881,0,71,360,-82.6
1779295704.915,1,423,326,-50.3
1779295704.915,0,71,360,-82.6
1779295704.962,1,423,326,-50.3
1779295704.962,0,71,360,-82.7
1779295705.010,1,423,326,-50.3
1779295705.010,0,71,360,-82.7
1779295705.041,1,423,326,-50.3
