timestamp,marker_id,x,y,theta
1780926947.035,1,403,326,-84.0
1780926947.035,0,140,327,-90.0
1780926947.084,1,403,326,-84.0
1780926947.084,0,140,327,-90.0
1780926947.098,1,403,326,-84.0
1780926947.098,0,140,327,-90.0
1780926947.145,1,403,326,-84.0
1780926947.145,0,140,327,-90.0
1780926947.190,1,403,326,-84.0
1780926947.190,0,140,327,-90.0
1780926947.223,1,403,326,-84.0
1780926947.223,0,140,327,-90.0
1780926947.268,1,403,326,-84.0
1780926947.268,0,140,327,-90.0
1780926947.311,1,403,326,-84.0
1780926947.311,0,140,327,-90.0
1780926947.359,1,403,326,-84.0
1780926947.359,0,140,327,-90.0
1780926947.390,1,403,326,-84.0
1780926947.390,0,140,327,-90.0
1780926947.435,1,403,326,-84.0
1780926947.435,0,140,327,-90.0
1780926947.482,1,403,326,-84.0
1780926947.482,0,140,327,-90.0
1780926947.513,1,403,326,-84.0
1780926947.513,0,140,327,-90.0
1780926947.558,1,403,326,-84.0
1780926947.558,0,140,327,-90.0
1780926947.606,1,404,326,-85.0
1780926947.606,0,140,327,-90.0
1780926947.651,1,403,326,-84.0
1780926947.651,0,140,327,-90.0
1780926947.681,1,403,326,-84.0
1780926947.681,0,140,327,-90.0
1780926947.726,1,403,326,-84.0
1780926947.726,0,140,327,-90.0
1780926947.771,1,403,326,-84.0
1780926947.771,0,140,327,-90.0
1780926947.817,1,403,326,-84.0
1780926947.817,0,140,327,-90.0
1780926947.847,1,403,326,-84.0
1780926947.847,0,140,327,-90.0
1780926947.893,1,403,326,-84.0
1780926947.893,0,140,327,-90.0
1780926947.938,1,403,326,-84.0
1780926947.938,0,140,327,-90.0
1780926947.983,1,403,326,-84.0
1780926947.983,0,140,327,-90.0
1780926948.016,1,403,326,-84.0
1780926948.016,0,140,327,-90.0
1780926948.060,1,403,326,-84.0
1780926948.060,0,140,327,-90.0
1780926948.108,1,403,326,-84.0
1780926948.108,0,140,327,-90.0
1780926948.137,1,403,326,-84.0
1780926948.137,0,140,327,-90.0
1780926948.183,1,403,326,-84.0
1780926948.183,0,140,327,-90.0
1780926948.229,1,403,326,-84.0
1780926948.229,0,140,327,-90.0
1780926948.275,1,403,326,-84.0
1780926948.275,0,140,327,-90.0
1780926948.318,1,403,326,-84.0
1780926948.318,0,140,327,-90.0
1780926948.350,1,403,326,-84.0
1780926948.350,0,140,327,-90.0
1780926948.394,1,403,326,-84.0
1780926948.394,0,140,327,-90.0
1780926948.442,1,403,326,-84.0
1780926948.442,0,140,327,-90.0
1780926948.469,1,403,326,-84.0
1780926948.469,0,140,327,-90.0
1780926948.517,1,403,326,-84.0
1780926948.517,0,140,327,-90.0
1780926948.562,1,403,326,-84.0
1780926948.562,0,140,327,-90.0
1780926948.608,1,404,326,-84.9
1780926948.608,0,140,327,-90.0
1780926948.638,1,403,326,-84.0
1780926948.638,0,140,327,-90.0
1780926948.684,1,403,326,-84.0
1780926948.684,0,140,327,-90.0
1780926948.732,1,403,326,-84.0
1780926948.732,0,140,327,-90.0
1780926948.775,1,403,326,-84.0
1780926948.775,0,140,327,-90.0
1780926948.807,1,403,326,-84.0
1780926948.807,0,140,327,-90.0
1780926948.851,1,403,326,-84.0
1780926948.851,0,140,327,-90.0
1780926948.897,1,403,326,-84.0
1780926948.897,0,140,327,-90.0
1780926948.926,1,403,326,-84.0
1780926948.926,0,140,327,-90.0
1780926948.974,1,403,326,-84.0
1780926948.974,0,140,327,-90.0
1780926949.019,1,403,326,-84.0
1780926949.019,0,140,327,-90.0
1780926949.067,1,403,326,-84.0
1780926949.067,0,140,327,-90.0
1780926949.093,1,403,326,-84.0
1780926949.093,0,140,327,-90.0
1780926949.142,1,403,326,-84.0
1780926949.142,0,140,327,-90.0
1780926949.188,1,403,326,-84.0
1780926949.188,0,140,327,-90.0
1780926949.234,1,403,326,-84.0
1780926949.234,0,140,327,-90.0
1780926949.265,1,403,326,-84.0
1780926949.265,0,140,327,-90.0
1780926949.310,1,403,326,-84.0
1780926949.310,0,140,327,-90.0
1780926949.354,1,403,326,-84.0
1780926949.354,0,140,327,-90.0
1780926949.400,1,403,326,-84.0
1780926949.400,0,140,327,-90.0
1780926949.429,1,403,326,-84.0
1780926949.429,0,140,327,-90.0
1780926949.475,1,403,326,-84.0
1780926949.475,0,140,327,-90.0
1780926949.522,1,403,326,-84.0
1780926949.522,0,140,327,-90.0
1780926949.553,1,403,326,-84.0
1780926949.553,0,140,327,-90.0
1780926949.598,1,404,326,-85.0
1780926949.598,0,140,327,-90.0
1780926949.646,1,403,326,-84.0
1780926949.646,0,140,327,-90.0
1780926949.690,1,403,326,-84.0
1780926949.690,0,140,327,-90.0
1780926949.719,1,403,326,-84.0
1780926949.719,0,140,327,-90.0
1780926949.766,1,403,326,-84.0
1780926949.766,0,140,327,-90.0
1780926949.812,1,403,326,-84.0
1780926949.812,0,140,327,-90.0
1780926949.858,1,403,326,-84.0
1780926949.858,0,140,327,-90.0
1780926949.888,1,403,326,-84.0
1780926949.888,0,140,327,-90.0
1780926949.935,1,403,326,-84.0
1780926949.935,0,140,327,-90.0
1780926949.980,1,403,326,-84.0
1780926949.980,0,140,327,-90.0
1780926950.028,1,403,326,-84.0
1780926950.028,0,140,327,-90.0
1780926950.058,1,403,326,-84.0
1780926950.058,0,140,327,-90.0
1780926950.104,1,403,326,-84.0
1780926950.104,0,140,327,-90.0
1780926950.152,1,404,327,-86.0
1780926950.152,0,140,328,-90.0
