timestamp,marker_id,x,y,theta
1779293566.792,1,454,243,-85.9
1779293566.792,0,53,242,-90.0
1779293566.827,1,454,243,-85.9
1779293566.827,0,53,242,-90.0
1779293566.858,1,454,243,-85.9
1779293566.858,0,53,242,-90.0
1779293566.903,1,454,243,-85.9
1779293566.903,0,53,242,-90.0
1779293566.952,1,454,243,-85.9
1779293566.952,0,53,242,-90.0
1779293566.980,1,454,243,-85.9
1779293566.980,0,53,242,-90.0
1779293567.027,1,454,243,-85.9
1779293567.027,0,53,242,-90.0
1779293567.073,1,454,243,-85.9
1779293567.073,0,53,242,-90.0
1779293567.105,1,454,243,-85.9
1779293567.105,0,53,242,-90.0
1779293567.151,1,454,243,-85.9
1779293567.151,0,53,242,-90.0
1779293567.197,1,454,243,-85.9
1779293567.197,0,53,242,-90.0
1779293567.229,1,454,243,-85.9
1779293567.229,0,53,242,-90.0
1779293567.276,1,454,243,-85.9
1779293567.276,0,53,242,-90.0
1779293567.320,1,454,243,-85.9
1779293567.320,0,53,242,-90.0
1779293567.354,1,454,243,-85.9
1779293567.354,0,53,242,-90.0
1779293567.399,1,454,243,-85.9
1779293567.399,0,53,242,-90.0
1779293567.442,1,454,243,-85.9
1779293567.442,0,53,242,-90.0
1779293567.491,1,454,243,-85.9
1779293567.491,0,53,242,-90.0
1779293567.525,1,454,243,-85.9
1779293567.525,0,53,242,-90.0
1779293567.569,1,454,243,-85.9
1779293567.569,0,53,242,-90.0
1779293567.616,1,454,243,-85.9
1779293567.616,0,53,242,-90.0
1779293567.647,1,454,243,-85.9
1779293567.647,0,53,242,-90.0
1779293567.693,1,454,243,-85.9
1779293567.693,0,53,242,-90.0
1779293567.740,1,454,243,-85.9
1779293567.740,0,53,242,-90.0
1779293567.772,1,454,243,-85.9
1779293567.772,0,53,242,-90.0
1779293567.817,1,454,243,-85.9
1779293567.817,0,53,242,-90.0
1779293567.863,1,454,243,-85.9
1779293567.863,0,53,242,-90.0
1779293567.895,1,454,243,-85.9
1779293567.895,0,53,242,-90.0
1779293567.940,1,454,243,-85.9
1779293567.940,0,53,242,-90.0
1779293567.986,1,454,243,-85.9
1779293567.986,0,53,242,-90.0
1779293568.033,1,454,243,-85.9
1779293568.033,0,53,242,-90.0
1779293568.066,1,454,243,-85.9
1779293568.066,0,53,242,-90.0
1779293568.111,1,454,243,-85.9
1779293568.111,0,53,242,-90.0
1779293568.157,1,454,243,-85.9
1779293568.157,0,53,242,-90.0
1779293568.188,1,454,243,-85.9
1779293568.188,0,53,242,-90.0
1779293568.237,1,454,243,-85.9
1779293568.237,0,53,242,-90.0
1779293568.283,1,454,243,-85.9
1779293568.283,0,53,242,-90.0
1779293568.314,1,454,243,-85.9
1779293568.314,0,53,242,-90.0
1779293568.362,1,454,243,-85.9
1779293568.362,0,53,242,-90.0
1779293568.407,1,454,243,-85.9
1779293568.407,0,53,242,-90.0
1779293568.439,1,454,243,-85.9
1779293568.439,0,53,242,-90.0
1779293568.487,1,454,243,-85.9
1779293568.487,0,53,242,-90.0
1779293568.533,1,454,243,-85.9
1779293568.533,0,53,242,-90.0
1779293568.562,1,454,243,-85.9
1779293568.562,0,53,242,-90.0
1779293568.611,1,454,243,-85.9
1779293568.611,0,53,242,-90.0
1779293568.654,1,454,243,-85.9
1779293568.654,0,53,242,-90.0
1779293568.686,1,454,243,-85.9
1779293568.686,0,53,242,-90.0
1779293568.730,1,454,243,-85.9
1779293568.730,0,53,242,-90.0
1779293568.778,1,454,243,-85.9
1779293568.778,0,53,242,-90.0
1779293568.825,1,454,243,-85.9
1779293568.825,0,53,242,-90.0
1779293568.858,1,454,243,-85.9
1779293568.858,0,53,242,-90.0
1779293568.905,1,454,243,-85.9
1779293568.905,0,53,242,-90.0
1779293568.953,1,454,243,-85.9
1779293568.953,0,53,242,-90.0
1779293568.983,1,454,243,-85.9
1779293568.983,0,53,242,-90.0
1779293569.031,1,454,243,-85.9
1779293569.031,0,53,242,-90.0
1779293569.075,1,454,243,-85.9
1779293569.075,0,53,242,-90.0
1779293569.106,1,454,243,-85.9
1779293569.106,0,53,242,-90.0
1779293569.153,1,454,243,-85.9
1779293569.153,0,53,242,-90.0
1779293569.195,1,454,243,-85.9
1779293569.195,0,53,242,-90.0
1779293569.229,1,454,243,-85.9
1779293569.229,0,53,242,-90.0
1779293569.277,1,454,243,-85.9
1779293569.277,0,53,242,-90.0
1779293569.322,1,454,243,-85.9
1779293569.322,0,53,242,-90.0
1779293569.353,1,454,243,-85.9
1779293569.353,0,53,242,-90.0
1779293569.401,1,454,243,-85.9
1779293569.401,0,53,242,-90.0
1779293569.447,1,454,243,-85.9
1779293569.447,0,53,242,-90.0
1779293569.478,1,454,243,-85.9
1779293569.478,0,53,242,-90.0
1779293569.525,1,454,243,-85.9
1779293569.525,0,53,242,-90.0
1779293569.572,1,454,243,-85.9
1779293569.572,0,53,242,-90.0
1779293569.604,1,454,243,-85.9
1779293569.604,0,53,242,-90.0
1779293569.653,1,454,243,-85.9
1779293569.653,0,53,242,-90.0
1779293569.696,1,454,243,-85.9
1779293569.696,0,53,242,-90.0
1779293569.741,1,454,243,-85.9
1779293569.741,0,53,242,-90.0
1779293569.773,1,454,243,-85.9
1779293569.773,0,53,242,-90.0
1779293569.818,1,454,243,-85.9
1779293569.818,0,53,242,-90.0
1779293569.866,1,454,243,-85.9
1779293569.866,0,53,242,-90.0
1779293569.896,1,454,243,-85.9
1779293569.896,0,53,242,-90.0
1779293569.942,1,454,243,-85.9
1779293569.942,0,53,242,-90.0
1779293569.988,1,454,243,-85.9
1779293569.988,0,53,242,-90.0
1779293570.022,1,454,243,-85.9
1779293570.022,0,53,242,-90.0
1779293570.068,1,454,243,-85.9
1779293570.068,0,53,242,-90.0
1779293570.117,1,454,243,-85.9
1779293570.117,0,53,242,-90.0
