timestamp,marker_id,x,y,theta
1782318517.4040117,1,360.0,421.0,90.0
1782318517.4040117,0,185.0,419.0,93.1
1782318517.4378605,1,360.0,421.0,90.0
1782318517.4378605,0,185.0,419.0,93.1
1782318517.4816446,1,360.0,421.0,90.0
1782318517.4816446,0,185.0,419.0,93.1
1782318517.514885,1,360.0,421.0,90.0
1782318517.514885,0,185.0,419.0,93.1
1782318517.5628862,1,360.0,421.0,90.0
1782318517.5628862,0,185.0,419.0,93.1
1782318517.6080215,1,360.0,421.0,90.0
1782318517.6080215,0,185.0,419.0,90.0
1782318517.6372464,1,360.0,421.0,90.0
1782318517.6372464,0,185.0,419.0,90.0
1782318517.6844,1,360.0,420.0,90.0
1782318517.6844,0,185.0,417.0,88.4
1782318517.7329924,1,360.0,416.0,88.6
1782318517.7329924,0,186.0,413.0,86.8
1782318517.7615626,1,361.0,414.0,90.0
1782318517.7615626,0,186.0,410.0,85.1
1782318517.809359,1,361.0,411.0,90.0
1782318517.809359,0,187.0,408.0,86.7
1782318517.8574164,1,360.0,409.0,87.2
1782318517.8574164,0,187.0,405.0,86.7
1782318517.88856,1,361.0,406.0,90.0
1782318517.88856,0,187.0,402.0,83.3
1782318517.9375603,1,360.0,404.0,87.2
1782318517.9375603,0,187.0,400.0,83.5
1782318517.9821515,1,360.0,404.0,87.2
1782318517.9821515,0,187.0,400.0,83.5
1782318518.016185,1,360.0,404.0,87.2
1782318518.016185,0,187.0,400.0,83.5
1782318518.062442,1,360.0,396.0,85.7
1782318518.062442,0,188.0,392.0,83.5
1782318518.1073308,1,361.0,394.0,87.1
1782318518.1073308,0,189.0,390.0,83.7
1782318518.1396086,1,361.0,391.0,87.1
1782318518.1396086,0,190.0,387.0,83.5
1782318518.1842875,1,361.0,391.0,87.1
1782318518.1842875,0,190.0,387.0,83.5
1782318518.2335086,1,361.0,387.0,87.2
1782318518.2335086,0,190.0,381.0,80.0
1782318518.2637374,1,361.0,384.0,87.1
1782318518.2637374,0,191.0,379.0,81.9
1782318518.309406,1,361.0,382.0,87.1
1782318518.309406,0,191.0,376.0,78.7
1782318518.3554094,1,361.0,379.0,85.6
1782318518.3554094,0,192.0,374.0,80.0
1782318518.3861666,1,361.0,377.0,84.1
1782318518.3861666,0,192.0,371.0,78.4
1782318518.4338467,1,361.0,375.0,84.3
1782318518.4338467,0,193.0,369.0,78.7
1782318518.4816365,1,361.0,375.0,84.3
1782318518.4816365,0,193.0,369.0,78.7
1782318518.5163174,1,361.0,375.0,84.3
1782318518.5163174,0,193.0,369.0,78.7
1782318518.5592053,1,362.0,368.0,84.1
1782318518.5592053,0,195.0,362.0,78.7
1782318518.6091442,1,362.0,366.0,84.1
1782318518.6091442,0,195.0,359.0,78.4
1782318518.6403792,1,362.0,364.0,82.9
1782318518.6403792,0,196.0,357.0,78.7
1782318518.6856308,1,362.0,364.0,82.9
1782318518.6856308,0,196.0,357.0,78.7
1782318518.732283,1,362.0,364.0,82.9
1782318518.732283,0,196.0,357.0,78.7
1782318518.7651844,1,363.0,358.0,82.9
1782318518.7651844,0,198.0,350.0,78.7
1782318518.8079638,1,363.0,356.0,81.5
1782318518.8079638,0,198.0,347.0,73.6
1782318518.8566153,1,364.0,354.0,82.9
1782318518.8566153,0,199.0,345.0,73.6
1782318518.8864298,1,364.0,352.0,81.3
1782318518.8864298,0,200.0,343.0,73.6
1782318518.9342463,1,364.0,350.0,81.3
1782318518.9342463,0,201.0,341.0,73.6
1782318518.9765363,1,364.0,348.0,79.8
1782318518.9765363,0,202.0,339.0,72.1
1782318519.0089731,1,364.0,348.0,79.8
1782318519.0089731,0,202.0,339.0,72.1
1782318519.0587265,1,364.0,348.0,79.8
1782318519.0587265,0,202.0,339.0,72.1
1782318519.106535,1,365.0,343.0,77.0
1782318519.106535,0,205.0,332.0,69.4
1782318519.1364322,1,366.0,341.0,78.4
1782318519.1364322,0,206.0,330.0,68.5
1782318519.1833363,1,366.0,340.0,77.0
1782318519.1833363,0,207.0,328.0,68.5
1782318519.2278044,1,366.0,340.0,77.0
1782318519.2278044,0,207.0,328.0,68.5
1782318519.2616806,1,366.0,340.0,77.0
1782318519.2616806,0,207.0,328.0,68.5
1782318519.3082108,1,367.0,335.0,76.7
1782318519.3082108,0,209.0,322.0,63.4
1782318519.3534489,1,367.0,334.0,76.0
1782318519.3534489,0,210.0,320.0,63.4
1782318519.400156,1,368.0,332.0,76.7
1782318519.400156,0,212.0,318.0,62.7
1782318519.4346898,1,368.0,331.0,75.6
1782318519.4346898,0,213.0,316.0,61.9
1782318519.4783027,1,368.0,330.0,74.2
1782318519.4783027,0,214.0,314.0,60.5
1782318519.5236933,1,368.0,329.0,74.2
1782318519.5236933,0,215.0,313.0,59.9
1782318519.554264,1,368.0,329.0,74.2
1782318519.554264,0,215.0,313.0,59.9
1782318519.601376,1,369.0,326.0,72.5
1782318519.601376,0,218.0,309.0,59.0
1782318519.647404,1,370.0,325.0,73.9
1782318519.647404,0,219.0,308.0,59.0
1782318519.6783516,1,370.0,324.0,72.5
1782318519.6783516,0,220.0,306.0,55.4
1782318519.7252452,1,370.0,324.0,72.5
1782318519.7252452,0,220.0,306.0,55.4
1782318519.772794,1,370.0,324.0,72.5
1782318519.772794,0,220.0,306.0,55.4
1782318519.8015363,1,371.0,321.0,72.0
1782318519.8015363,0,224.0,302.0,52.8
1782318519.8492022,1,372.0,320.0,68.7
1782318519.8492022,0,226.0,300.0,49.8
1782318519.894814,1,373.0,319.0,67.9
1782318519.894814,0,227.0,299.0,50.6
1782318519.9416919,1,374.0,317.0,67.4
1782318519.9416919,0,228.0,298.0,47.2
1782318519.9722128,1,375.0,315.0,66.6
1782318519.9722128,0,229.0,296.0,45.0
1782318520.0188248,1,376.0,313.0,64.1
1782318520.0188248,0,231.0,295.0,45.0
1782318520.0664513,1,376.0,313.0,64.1
1782318520.0664513,0,231.0,295.0,45.0
1782318520.0976126,1,376.0,313.0,64.1
1782318520.0976126,0,231.0,295.0,45.0
1782318520.1422698,1,379.0,307.0,64.7
1782318520.1422698,0,235.0,291.0,39.4
1782318520.1898847,1,380.0,305.0,64.7
1782318520.1898847,0,237.0,290.0,41.5
1782318520.2200067,1,381.0,302.0,62.8
1782318520.2200067,0,238.0,288.0,38.2
1782318520.2666922,1,381.0,302.0,62.8
1782318520.2666922,0,238.0,288.0,38.2
1782318520.3138375,1,383.0,299.0,63.4
1782318520.3138375,0,241.0,287.0,40.4
1782318520.3463023,1,384.0,297.0,63.4
1782318520.3463023,0,242.0,285.0,35.9
1782318520.3933105,1,385.0,295.0,63.4
1782318520.3933105,0,244.0,284.0,36.9
1782318520.4381983,1,386.0,291.0,62.2
1782318520.4381983,0,245.0,283.0,36.9
1782318520.4702163,1,386.0,291.0,60.3
1782318520.4702163,0,246.0,282.0,35.0
1782318520.518074,1,387.0,289.0,59.7
1782318520.518074,0,247.0,281.0,35.0
1782318520.564992,1,389.0,287.0,62.2
1782318520.564992,0,249.0,280.0,34.6
1782318520.5956204,1,389.0,287.0,62.2
1782318520.5956204,0,249.0,280.0,34.6
1782318520.640366,1,389.0,287.0,62.2
1782318520.640366,0,249.0,280.0,34.6
1782318520.6888566,1,392.0,281.0,59.5
