tiempo,robot,x_act,y_act,th_act,x_obj,y_obj,th_obj,modo_pid
1778408549.3377316,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.3740969,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.4051478,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.453758,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.483143,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.5288725,EP2,92.0,310.0,77.5,262.0,234.0,0.0,ESP32
1778408549.6046255,EP2,94.0,307.0,70.2,262.0,234.0,0.0,ESP32
1778408549.7000191,EP2,96.0,304.0,65.4,262.0,234.0,0.0,ESP32
1778408549.7281384,EP2,96.0,304.0,65.4,262.0,234.0,0.0,ESP32
1778408549.7757998,EP2,97.0,303.0,65.4,262.0,234.0,0.0,ESP32
1778408549.8213146,EP2,98.0,300.0,58.7,262.0,234.0,0.0,ESP32
1778408549.8682008,EP2,99.0,299.0,58.0,262.0,234.0,0.0,ESP32
1778408550.1952808,EP2,108.0,288.0,45.0,262.0,234.0,0.0,ESP32
1778408550.241745,EP2,110.0,287.0,46.5,262.0,234.0,0.0,ESP32
1778408550.2715542,EP2,111.0,285.0,45.0,262.0,234.0,0.0,ESP32
1778408550.3182926,EP2,112.0,284.0,42.0,262.0,234.0,0.0,ESP32
1778408550.3633113,EP2,112.0,284.0,42.0,262.0,234.0,0.0,ESP32
1778408550.395178,EP2,115.0,282.0,43.5,262.0,234.0,0.0,ESP32
1778408550.4423296,EP2,116.0,280.0,37.3,262.0,234.0,0.0,ESP32
1778408550.4863493,EP2,118.0,280.0,40.4,262.0,234.0,0.0,ESP32
1778408550.5315623,EP2,119.0,279.0,39.0,262.0,234.0,0.0,ESP32
1778408550.562571,EP2,120.0,278.0,39.0,262.0,234.0,0.0,ESP32
1778408550.611524,EP2,122.0,277.0,39.0,262.0,234.0,0.0,ESP32
1778408550.7793593,EP2,128.0,272.0,37.3,262.0,234.0,0.0,ESP32
1778408550.8114421,EP2,128.0,272.0,37.3,262.0,234.0,0.0,ESP32
1778408550.8579893,EP2,129.0,271.0,36.0,262.0,234.0,0.0,ESP32
1778408550.9044445,EP2,133.0,268.0,33.7,262.0,234.0,0.0,ESP32
1778408550.9370584,EP2,134.0,268.0,31.3,262.0,234.0,0.0,ESP32
1778408550.9828637,EP2,135.0,267.0,34.3,262.0,234.0,0.0,ESP32
1778408551.0286121,EP2,136.0,266.0,33.1,262.0,234.0,0.0,ESP32
1778408551.0767953,EP2,138.0,265.0,33.1,262.0,234.0,0.0,ESP32
1778408551.1075578,EP2,138.0,265.0,33.1,262.0,234.0,0.0,ESP32
1778408551.1539207,EP2,141.0,263.0,33.1,262.0,234.0,0.0,ESP32
1778408551.186337,EP2,141.0,263.0,33.1,262.0,234.0,0.0,ESP32
1778408551.2330277,EP2,144.0,261.0,31.3,262.0,234.0,0.0,ESP32
1778408551.2796378,EP2,145.0,260.0,30.3,262.0,234.0,0.0,ESP32
1778408551.3120294,EP2,145.0,260.0,30.3,262.0,234.0,0.0,ESP32
1778408551.3576999,EP2,148.0,259.0,30.3,262.0,234.0,0.0,ESP32
1778408551.4056778,EP2,148.0,259.0,30.3,262.0,234.0,0.0,ESP32
1778408551.4368708,EP2,151.0,257.0,30.3,262.0,234.0,0.0,ESP32
1778408551.4850066,EP2,151.0,257.0,30.3,262.0,234.0,0.0,ESP32
1778408551.5323546,EP2,154.0,255.0,25.6,262.0,234.0,0.0,ESP32
1778408551.5632744,EP2,154.0,255.0,25.6,262.0,234.0,0.0,ESP32
1778408551.6116674,EP2,155.0,255.0,27.5,262.0,234.0,0.0,ESP32
1778408551.6575317,EP2,158.0,253.0,24.6,262.0,234.0,0.0,ESP32
1778408551.6883566,EP2,158.0,253.0,24.6,262.0,234.0,0.0,ESP32
1778408551.7342095,EP2,161.0,252.0,23.7,262.0,234.0,0.0,ESP32
1778408551.7831705,EP2,161.0,252.0,23.7,262.0,234.0,0.0,ESP32
1778408551.8146758,EP2,164.0,251.0,23.7,262.0,234.0,0.0,ESP32
1778408551.8625152,EP2,166.0,250.0,23.7,262.0,234.0,0.0,ESP32
1778408551.9066741,EP2,167.0,249.0,19.1,262.0,234.0,0.0,ESP32
1778408551.9374318,EP2,169.0,249.0,21.0,262.0,234.0,0.0,ESP32
1778408551.9849715,EP2,170.0,248.0,17.1,262.0,234.0,0.0,ESP32
1778408552.0301254,EP2,172.0,248.0,17.7,262.0,234.0,0.0,ESP32
1778408552.0627275,EP2,172.0,248.0,17.7,262.0,234.0,0.0,ESP32
1778408552.1096606,EP2,172.0,248.0,17.7,262.0,234.0,0.0,ESP32
1778408552.1551373,EP2,175.0,247.0,16.5,262.0,234.0,0.0,ESP32
1778408552.2163284,EP2,178.0,246.0,15.1,262.0,234.0,0.0,ESP32
1778408552.247398,EP2,180.0,245.0,13.0,262.0,234.0,0.0,ESP32
1778408552.292998,EP2,181.0,245.0,12.5,262.0,234.0,0.0,ESP32
1778408552.3413846,EP2,182.0,245.0,14.5,262.0,234.0,0.0,ESP32
1778408552.3714285,EP2,184.0,244.0,13.0,262.0,234.0,0.0,ESP32
1778408552.4163287,EP2,184.0,244.0,13.0,262.0,234.0,0.0,ESP32
1778408552.460993,EP2,187.0,244.0,14.5,262.0,234.0,0.0,ESP32
1778408552.4937458,EP2,188.0,243.0,10.5,262.0,234.0,0.0,ESP32
1778408552.5408456,EP2,190.0,243.0,10.9,262.0,234.0,0.0,ESP32
1778408552.5882592,EP2,190.0,243.0,10.9,262.0,234.0,0.0,ESP32
1778408552.6174908,EP2,191.0,243.0,12.1,262.0,234.0,0.0,ESP32
1778408552.6633885,EP2,192.0,242.0,10.1,262.0,234.0,0.0,ESP32
1778408552.7113717,EP2,194.0,242.0,10.1,262.0,234.0,0.0,ESP32
1778408552.7562494,EP2,195.0,242.0,10.1,262.0,234.0,0.0,ESP32
1778408552.7860594,EP2,197.0,241.0,8.7,262.0,234.0,0.0,ESP32
1778408552.832601,EP2,198.0,241.0,10.1,262.0,234.0,0.0,ESP32
1778408552.8776884,EP2,201.0,241.0,10.5,262.0,234.0,0.0,ESP32
